"ASV_ID","ASV_sha","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_741","83659ba665e3b623b6f5fd4576bbf248","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","Roseiarcus sp009765995"
"ASV_742","210df99c3dcaa6b4b1755ca980728c08","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Granulicella_B","Granulicella_B arctica"
"ASV_743","df81a73e5b4152800afd8687425ee1cb","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV_744","fccbdff8fac6bb4a77fa3e3d96e7ec2a","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"ASV_745","e0a14d5bed4b86f9dd890f8e47471581","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450","AV80",NA
"ASV_746","dfeee0535a51db03000c6b59e0d29fd2","Bacteria","Dormibacterota","Dormibacteria","UBA8260","Bog-877",NA,NA
"ASV_747","c06ccd1f7d57566ef669942328b1a946","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA
"ASV_748","da970e482dfe05782437a7463b5c71b7","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Acidoferrum",NA
"ASV_749","4682861f1a84db454808237bf5cc4afd","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia","Puia sp017307755"
"ASV_750","f721d83108dd078d9769b367dfa3c1d9","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Telluria","Telluria psychrophila"
"ASV_751","ff56384b461f0a90d9daa165374f3554","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
"ASV_752","8676989a4b5edf205f9fe904dd03d185","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV_753","2e98af2abc5883ca615858b2e1f761c7","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","Sulfotelmatobacter",NA
"ASV_754","24f0f18ca860c7889a5e07f4d8b63d20","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV_755","7779550c6c1b442d5d71d843fd928a32","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450",NA,NA
"ASV_756","f248396d5d16d163e6b20b2c6af3bc0a","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae",NA,NA
"ASV_757","1ad9523314ec45c574a1e291cd8935fe","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Koribacteraceae",NA,NA
"ASV_758","335fb8607ffa7297b54d6e226d99ed30","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Palsa-295",NA
"ASV_759","9da38b08a98a30c4ec4cd221d0888533","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541",NA,NA
"ASV_760","ae04dca2a07ec1aa560e836bc399ea57","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV_761","41300091835845bd9f0d2c9d5efa62e5","Bacteria","Actinomycetota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV_762","564d7421333285377598a185a21879e5","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Trebonia","Trebonia kvetii"
"ASV_763","c0bcf7e96430d61108868a152d0d7ff0","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",NA,NA
"ASV_764","98442e3380ce1dd98339e3223f811066","Bacteria","Pseudomonadota","Alphaproteobacteria","Reyranellales","Reyranellaceae","Vineibacter",NA
"ASV_765","6bc63d736c0971f04d7a996c5dd96633","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia","Puia sp013286315"
